"point_id","lc1","lc_lu_special_remark","survey_date","photo_east_descr","photo_west_descr","photo_north_descr","photo_south_descr","correct_photos","X","Y"
45862778,"B55",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",4,13.55483374,48.0582
45863212,"B14",2,"2018-05-03","Maize","Gras Clover Mix","Wheat","Gras Clover Mix",0,13.8546016667,51.95451
45883208,"B14",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Maize",0,13.8828416667,51.91944
46822786,"B11",10,"2018-05-03","Oats","Wheat","Oats","Oats",1,14.84601,48.08115
46862784,"B55",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",4,14.8984,48.06064
47261432,"B18",10,"2018-05-03","Wheat","Wheat","Barley","Triticale",1,14.442732,35.84187
47262648,"B16",10,"2018-05-03","Maize","Harvested grain","Maize","Maize",4,15.30699,46.81503
47282644,"B16",10,"2018-05-03","Maize","Maize","Maize","Gras Clover Mix",3,15.32948,46.77785
47302640,"B16",10,"2018-05-03","Maize","Maize","Maize","Maize",4,15.351944,46.74065
48162792,"B13",10,"2018-05-03","Gras Clover Mix","Triticale","Oats","Oats",0,16.645489,48.04093
48182788,"B16",10,"2018-05-03","Harvested grain","Harvested grain","Wheat","Harvested grain",3,16.667213,48.0036
48543226,"B13",10,"2018-05-03","Oats","Gras Clover Mix","Wheat","Oats",0,17.75857002,51.88859
48563224,"B16",10,"2018-05-03","Barley","Maize","Maize","Maize",3,17.78439013,51.86881
48563236,"B13",10,"2018-05-03","Oats","Wheat","Oats","Oats",0,17.80305992,51.97594
48563242,"B15",10,"2018-05-03","Maize","Maize","Wheat","Maize",0,17.81240608,52.02952
48563244,"B13",10,"2018-05-03","Barley","Wheat","Wheat","Maize",1,17.81551016,52.04742
48583230,"B21",10,"2018-05-03","Sugar beet","Maize","Maize","Maize",0,17.8227133,51.92042
48603234,"B15",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,17.85781926,51.9542
48622816,"B13",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Oats","Gras Clover Mix",0,17.29026,48.21689
48622818,"B13",10,"2018-05-03","Maize","Maize","Oats","Gras Clover Mix",0,17.29284,48.23479
48683216,"B13",10,"2018-05-03","Maize","Gras Clover Mix","Maize","Maize",0,17.9451043,51.78575
48723214,"B21",10,"2018-05-03","Gras Clover Mix","Potatoes","Maize","Maize",1,17.99956682,51.76398
48782800,"B13",10,"2018-05-03","Oats","Maize","Wheat","Wheat",0,17.48334,48.05937
48822790,"B32",10,"2018-05-03","Peas","Potatoes","Peas","Gras Clover Mix",0,17.52347,47.96627
48882780,"B11",10,"2018-05-03","Maize","Maize","Gras Clover Mix","Gras Clover Mix",0,17.59011,47.87133
49363074,"B15",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,18.68179979,50.44934
49383064,"B32",10,"2018-05-03","Gras Clover Mix","Peas","Gras Clover Mix","Gras Clover Mix",0,18.69388522,50.35893
49383066,"B13",10,"2018-05-03","Gras Clover Mix","Oats","Oats","Gras Clover Mix",0,18.69656833,50.37601
49922872,"B16",10,"2018-05-03","Maize","Maize","Maize","Maize",4,19.11854,48.58733
49963398,"B21",10,"2018-05-03","Potatoes","Potatoes","Potatoes","Sugar beet",3,20.1533995,53.26406
49983398,"B16",10,"2018-05-03","Peas","Maize","Gras Clover Mix","Wheat",1,20.18321574,53.2616
50043402,"B18",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,20.28076753,53.28955
50063400,"B22",10,"2018-05-03","Maize","Potatoes","Peas","Maize",0,20.30624462,53.26925
50083404,"B18",10,"2018-05-03","Maize","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,20.34463957,53.30219
50763472,"B13",10,"2018-05-03","Maize","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,21.51657439,53.81333
50783470,"B21",10,"2018-05-03","Maize","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,21.54168383,53.79279
51243780,"B13",10,"2018-05-03","Maize","Maize","Harvested grain","Harvested grain",2,23.09942,56.46117
51243782,"B13",10,"2018-05-03","Harvested grain","Harvested grain","Gras Clover Mix","Maize",2,23.10548,56.47881
51262904,"B15",10,"2018-05-03","Maize","Maize","Maize","Maize",0,20.980538,48.70818
51263784,"B11",10,"2018-05-03","Maize","Maize","Maize","Gras Clover Mix",0,23.14354,56.49315
51282900,"B32",10,"2018-05-03","Sugar beet","Peas","Field Bean","Field Bean",0,20.999546,48.66998
51302894,"B16",10,"2018-05-03","Maize","Maize","Maize","Maize",4,21.01459,48.61401
51303790,"B13",10,"2018-05-03","Harvested grain","Harvested grain","Harvested grain","Harvested grain",4,23.22586,56.53944
51323782,"B11",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,23.23325,56.46566
51403810,"B11",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,23.44831,56.69898
51483800,"B11",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,23.54501,56.59748
52223206,"B16",10,"2018-05-03","Potatoes","Barley","Gras Clover Mix","Gras Clover Mix",0,22.98102328,51.2418
52283204,"B13",10,"2018-05-03","Wheat","Wheat","Oats","Oats",0,23.06065604,51.21451
53443812,"B32",10,"2018-05-03","Maize","Harvested grain","Gras Clover Mix","Maize",1,26.70111,56.33348
53443816,"B11",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,26.71651,56.36831
53623798,"B11",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,26.93009,56.17404
56142312,"B11",10,"2018-05-03","Wheat","Wheat","Oats","Wheat",3,25.85364,42.67877
56462316,"B41",10,"2018-05-03","Maize","Gras Clover Mix","Maize","Maize",0,26.25165,42.65476
64321660,"B11",10,"2018-05-03","Harvested grain","Harvested grain","Gras Clover Mix","Barley",2,33.30066,35.09186
64381660,"B13",10,"2018-05-03","Wheat","Harvested grain","Barley","Harvested grain",3,33.36384,35.07549
29922162,"B13",10,"2018-05-03","Barley","Barley","Barley","Barley",4,-5.933363,41.29142
30561886,"B18",10,"2018-05-03","Barley","Maize","Barley","Barley",0,-4.605721,38.96578
32861862,"B13",10,"2018-05-03","Barley","Barley","Barley","Barley",4,-1.949503,39.11384
32901860,"B41",10,"2018-05-03","Peas","Gras Clover Mix","Peas","Gras Clover Mix",2,-1.900667,39.10161
32921860,"B16",10,"2018-05-03","Gras Clover Mix","Maize","Maize","Harvested grain",3,-1.877894,39.10442
32981856,"B13",10,"2018-05-03","Gras Clover Mix","Barley","Barley","Barley",3,-1.80307,39.0771
33001858,"B32",10,"2018-05-03","Potatoes","Maize","Wheat","Peas",0,-1.785781,39.09902
34402780,"B55",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",4,-1.74207,47.50265
34542132,"B13",10,"2018-05-03","Gras Clover Mix","Barley","Gras Clover Mix","Gras Clover Mix",1,-0.421856,41.75099
34562768,"B11",10,"2018-05-03","Gras Clover Mix","Wheat","Gras Clover Mix","Gras Clover Mix",1,-1.506134,47.41935
34622130,"B18",10,"2018-05-03","Wheat","Barley","Oats","Barley",0,-0.32366,41.74301
34702760,"B32",10,"2018-05-03","Winter oilseed rape","Gras Clover Mix","Winter oilseed rape","Gras Clover Mix",2,-1.308593,47.36687
